,s1,s2,s3,s4,s5,s6,
s1,0.0000,1.0059,0.5742,0.9707,1.0137,1.0117,
s2,1.0059,0.0000,0.9590,0.9492,0.9453,0.9668,
s3,0.5742,0.9590,0.0000,1.0371,1.0371,1.0117,
s4,0.9707,0.9492,1.0371,0.0000,0.4883,0.6191,
s5,1.0137,0.9453,1.0371,0.4883,0.0000,0.4746,
s6,1.0117,0.9668,1.0117,0.6191,0.4746,0.0000,
