,s1,s2,s3,s4,s5,s6,
s1,0.0000,0.4922,0.3008,0.5088,0.5137,0.5039,
s2,0.4922,0.0000,0.4766,0.5029,0.5117,0.4941,
s3,0.3008,0.4766,0.0000,0.4893,0.4961,0.4902,
s4,0.5088,0.5029,0.4893,0.0000,0.2334,0.3076,
s5,0.5137,0.5117,0.4961,0.2334,0.0000,0.2520,
s6,0.5039,0.4941,0.4902,0.3076,0.2520,0.0000,
