,mark,john,paul,luke,fish,bread,hunger,thirst,
mark,0.0000,0.4414,0.4766,0.4980,1.0215,1.0273,0.9785,1.0195,
john,0.4414,0.0000,0.4258,0.5098,0.9863,0.9883,0.9824,1.0117,
paul,0.4766,0.4258,0.0000,0.4551,1.0137,1.0000,0.9824,1.0312,
luke,0.4980,0.5098,0.4551,0.0000,1.0391,0.9707,0.9844,0.9902,
fish,1.0215,0.9863,1.0137,1.0391,0.0000,0.9395,0.9922,1.0254,
bread,1.0273,0.9883,1.0000,0.9707,0.9395,0.0000,0.9707,0.9062,
hunger,0.9785,0.9824,0.9824,0.9844,0.9922,0.9707,0.0000,0.7441,
thirst,1.0195,1.0117,1.0312,0.9902,1.0254,0.9062,0.7441,0.0000,
