,s1,s2,s3,s4,s5,s6,
s1,0.0000,1.1222,0.3241,1.0675,0.9528,1.0584,
s2,1.1222,0.0000,1.0600,0.9863,0.9893,0.9844,
s3,0.3241,1.0600,0.0000,1.0246,0.9856,1.0866,
s4,1.0675,0.9863,1.0246,0.0000,0.4624,0.4484,
s5,0.9528,0.9893,0.9856,0.4624,0.0000,0.6961,
s6,1.0584,0.9844,1.0866,0.4484,0.6961,0.0000,
