,s1,s2,s3,s4,s5,s6,
s1,0.0000,1.0479,0.3174,0.9734,0.9851,1.0374,
s2,1.0479,0.0000,1.0574,1.0005,0.9498,1.0513,
s3,0.3174,1.0574,0.0000,0.9937,1.0007,0.9838,
s4,0.9734,1.0005,0.9937,-0.0000,0.3278,0.4627,
s5,0.9851,0.9498,1.0007,0.3278,-0.0000,0.6933,
s6,1.0374,1.0513,0.9838,0.4627,0.6933,0.0000,
